(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F3XL6Z8X,B0DQQCWY6T,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 240 Capsules",IL-HUGA-72N0,"1,062",20,97.52%,100.00%,"1,328",27,97.79%,100.00%,99.82%,100.00%,633,11,59.60%,55.00%,"$20,249.00",$345.00,598,10
B0DQQCWY6T,B0DQQCWY6T,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 240 Capsules",IL-HUGA-72N0,27,0,2.48%,0.00%,30,0,2.21%,0.00%,100.00%,0.00%,16,0,59.26%,0.00%,$512.00,$0.00,12,0
