(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F3XL6Z8X,B0DQQCWY6T,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 240 Capsules",IL-HUGA-72N0,"1,203",27,97.96%,100.00%,"1,670",30,97.66%,100.00%,99.17%,100.00%,555,8,46.13%,29.63%,"$17,694.80",$254.80,522,7
B0DQQCWY6T,B0DQQCWY6T,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 240 Capsules",IL-HUGA-72N0,25,0,2.04%,0.00%,40,0,2.34%,0.00%,100.00%,0.00%,7,0,28.00%,0.00%,$128.00,$0.00,7,0
