(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F3XL6Z8X,B0D322YRQY,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 120 Capsules",2E-435L-4HVF,"8,987",169,96.62%,98.26%,"13,643",256,96.59%,98.08%,99.69%,100.00%,"3,666",53,40.79%,31.36%,"$80,139.61","$1,120.55","3,498",47
B0D322YRQY,B0D322YRQY,"D-Mannose 2000mg with Cranberry & Hibiscus - Clinically Tested Strength for Urinary Tract Health - Supplement for Women - Bladder, Liver & Microflora Support - Made in USA - Vegan, 120 Capsules",2E-435L-4HVF,314,3,3.38%,1.74%,482,5,3.41%,1.92%,99.53%,100.00%,119,1,37.90%,33.33%,"$2,213.40",$18.60,116,1
